Date,Close,Polarity,Prediction,Subjectivity
2016-11-08,70.03,0.17174777329949734,0,0.5080953002935756
2016-11-09,73.25,0.150768234671028,0,0.49092993426326764
2016-11-10,76.65,0.18693344058079825,0,0.49271796067527796
2016-11-11,76.69,0.1416551141186662,0,0.4690319456990231
2016-11-14,79.51,0.14988580571117344,0,0.4631373397843985
2016-11-15,79.36,0.21196508428252397,0,0.5293534469221765
2016-11-16,77.4,0.1410366072043055,0,0.4815538357519498
2016-11-17,78.02,0.19049354031947158,0,0.42208084051117817
2016-11-18,77.71,0.16686240963754542,0,0.44307673851152063
2016-11-21,78.05,0.2213607222377381,0,0.36183322035640664
2016-11-22,78.53,0.07480478819020475,0,0.36560832685832834
2016-11-23,78.86,0.0757452524747716,0,0.4048758304491387
2016-11-25,78.83,0.12353811586783149,0,0.4469831116986804
2016-11-28,78.32,0.13292695090372955,0,0.39259900672450054
2016-11-29,78.92,0.0655082315625446,0,0.45443627281486676
2016-11-30,80.17,0.1728558901341724,0,0.4826218852285921
2016-12-01,81.79,0.21918674940261254,0,0.4989446579004811
2016-12-02,81.6,0.18156368123746153,0,0.3875107730700066
2016-12-05,83.26,0.0873008221104047,0,0.4295622855705841
2016-12-06,83.69,0.21091077441077438,0,0.5196383848101044
2016-12-07,84.07,0.20648800434899106,0,0.5271143811004624
2016-12-08,85.12,0.15143707685183846,0,0.5176311422081071
2016-12-09,85.49,0.23139504023330318,0,0.4831868301333951
2016-12-12,84.73,0.1129137259677028,0,0.5121899703717897
2016-12-13,84.76,0.0989733308202405,0,0.45450231143700115
2016-12-14,84.73,0.07963441852889634,0,0.4971670828748467
2016-12-15,86.0,0.15751144141793344,0,0.421347068053018
2016-12-16,84.94,0.1087398233486944,0,0.4468696527486842
2016-12-19,85.43,0.21001211602702433,0,0.5035375365163216
2016-12-20,86.53,0.1701144294606467,0,0.4469176255031523
2016-12-21,86.75,0.2707402122393227,0,0.49298120375077725
2016-12-22,86.89,0.20637130882235055,0,0.49404231067286597
2016-12-23,87.05,0.1896018711106602,0,0.44717260025853783
2016-12-27,87.13,0.18128409549490068,0,0.47398387629319827
2016-12-28,86.5,0.16629887549280076,0,0.4987811470288103
2016-12-29,85.89,0.25836511216056685,0,0.6071186704709431
2016-12-30,86.29,0.15929044205140414,0,0.5143037895786592
2017-01-03,87.23,0.11537972320713796,0,0.45046060925606335
2017-01-04,86.91,0.11872914903909235,0,0.43164439771087426
2017-01-05,86.11,0.050013611571981705,0,0.4330819311215792
2017-01-06,86.12,0.14752592624802457,0,0.4555860947914524
2017-01-09,86.18,-0.22850257472979213,0,0.8087575408141602
2017-01-10,86.43,0.0688813356515934,0,0.6062197875618685
2017-01-11,87.08,0.14240840894837486,0,0.5400819860561114
2017-01-12,86.24,0.15362418533004474,0,0.47222470875013334
2017-01-13,86.7,0.1813811230738315,0,0.48088358380024804
2017-01-17,83.55,0.1679500842822112,0,0.47247798539001234
2017-01-18,83.94,-0.010184205739842269,0,0.3323047390410165
2017-01-19,83.3,0.011812841754683256,0,0.44414079502303755
2017-01-20,83.67,0.08586957810447976,0,0.4968732013149147
2017-01-23,83.71,0.23918368243922014,0,0.47822589403681137
2017-01-24,84.72,0.25857445510520344,0,0.5109686384619538
2017-01-25,86.03,0.14139176047091717,0,0.3889204591235053
2017-01-26,86.75,0.24679334209184944,0,0.5056665177000998
2017-01-27,86.93,0.19374604440393914,0,0.5157739677476513
2017-01-30,86.03,0.04862253945766882,0,0.47109433669778616
2017-01-31,84.63,0.11136953955135764,0,0.48053110801044674
2017-02-01,84.95,0.1378017698499625,0,0.5285820717936688
2017-02-02,84.59,0.11129991055222997,0,0.5411641033662516
2017-02-03,87.18,0.15460653125055274,0,0.44131349047713847
2017-02-06,86.77,0.20488336154426068,0,0.5453877941550958
2017-02-07,86.72,0.18425399831649805,0,0.5525919054490481
2017-02-08,85.96,0.222045855379189,0,0.5725654848811198
2017-02-09,87.2,0.11185282790802274,0,0.5196603949201353
2017-02-10,87.0,0.2109490701528743,0,0.523064061944497
2017-02-13,88.15,0.16909519428251585,0,0.41623970785370035
2017-02-14,89.56,0.14117832397311753,0,0.4558301701276454
2017-02-15,90.59,0.12886878073740277,0,0.43095375523947116
2017-02-16,90.53,0.153923668923669,0,0.49921739525906195
2017-02-17,90.23,0.14059790209790213,0,0.49387719687719706
2017-02-21,91.01,0.1809233977042622,0,0.420412125368916
2017-02-22,91.06,0.19234988753565943,0,0.38856895984200174
2017-02-23,91.13,0.1619798642942024,0,0.4658935149817512
2017-02-24,90.33,0.1372847845949482,0,0.4595242231807653
2017-02-27,90.43,0.12958718641817218,0,0.484071199080002
2017-02-28,90.62,0.14642083559841704,0,0.47590898063904874
2017-03-01,93.6,0.1304752127680967,0,0.43918287472918854
2017-03-02,92.14,0.12974690899218114,0,0.4594569790614817
2017-03-03,92.8,0.13378935723618568,0,0.5319332809258182
2017-03-06,91.92,0.1281845737288542,0,0.48951899064445203
2017-03-07,91.41,0.1897182591464646,0,0.48458767366094946
2017-03-08,91.21,0.24900732792501076,0,0.5250492585553562
2017-03-09,91.57,0.1748242865485412,0,0.46208718035953866
2017-03-10,91.28,-0.010847090448132105,0,0.4447931497514831
2017-03-13,91.36,0.19843059223899984,0,0.4917348742527308
2017-03-14,91.51,0.19376717234638763,0,0.525334228917078
2017-03-15,91.73,0.1897009072216987,0,0.5063375910603737
2017-03-16,91.64,0.2913867562942469,0,0.5923376753611412
2017-03-17,90.68,0.09599649754559457,0,0.4942452459128538
2017-03-20,90.03,0.21446785738176463,0,0.4203613874474805
2017-03-21,87.39,0.1253215271455615,0,0.5160557573486756
2017-03-22,87.53,0.17470796684989395,0,0.37524051854781026
2017-03-23,87.39,0.20390632853413768,0,0.4354531571736628
2017-03-24,87.29,0.1741985633916014,0,0.4519935871676377
2017-03-27,87.24,0.20019617146375418,0,0.47283108917699795
2017-03-28,88.6,0.19880707118330881,0,0.4868947787635909
2017-03-29,88.27,0.16722234461966606,0,0.35400064419707206
2017-03-30,89.03,0.14847172544647896,0,0.5018028405381589
2017-03-31,87.84,0.15236700007247966,0,0.5326363521055304
2017-04-03,87.52,0.14487565429908614,0,0.4528088436318677
2017-04-04,87.31,0.10225479288197763,0,0.46678890627792013
2017-04-05,86.19,0.22808608291115126,0,0.6133897659305251
2017-04-06,86.48,-0.014411058061848265,0,0.5881178399147149
2017-04-07,86.18,0.03490682654887207,0,0.513581950036496
2017-04-10,85.88,0.22239590871809717,0,0.609487197199963
2017-04-11,85.73,0.17095762951645307,0,0.4160997510115157
2017-04-12,85.4,0.24951146191095042,0,0.489756296605712
2017-04-13,84.4,0.2339073993061402,0,0.44498343437466525
2017-04-17,85.86,0.11519904692082097,0,0.43174164843519647
2017-04-18,85.16,0.08925407167727992,0,0.44140492771038825
2017-04-19,84.46,0.09204024050476121,0,0.503639502119295
2017-04-20,85.55,0.13551844060134882,0,0.5429847460268387
2017-04-21,84.52,0.13532197516288436,0,0.4638151687327816
2017-04-24,87.5,0.11243137079560538,0,0.4186937026291091
2017-04-25,88.26,0.22062775049715358,0,0.47636801562174685
2017-04-26,88.43,0.07477696241515677,0,0.44631806824862447
2017-04-27,87.61,0.03706034325151976,0,0.5658947942454725
2017-04-28,87.0,0.2100329377412702,0,0.7000585549303503
